Time	CycleTime	Idle	Open	Setup	Work	Lateness	OEE	New
44640	2238.513872	159.6845455	84	20	29.38	-1461.82509	36.72	5
44880	2234.285714	163.7347619	80	19.27	34.33	-1459.487395	42.92	0
45120	2234.055886	153.4404762	82	19.98	26.52	-1459.317479	33.33	10
45360	2235.222615	161.82	74	19.46	30.5	-1458.202591	38.12	0
45600	2235.177986	122.3552632	74	19.67	28.83	-1456.001171	36.04	5
45840	2236.153037	153.6908696	72	19.85	29.92	-1457.732477	37.42	0
46080	2237.386047	144.1772727	79	20	25.46	-1456.903488	31.82	11
46320	2238.782659	132.7143478	74	19.6	30.1	-1459.565318	37.63	0
46560	2241.279632	134.7790909	81	19.29	32	-1466.342923	40	11
46800	2243.814645	117.12	76	19.4	34.08	-1472.177346	42.6	0
47040	2243.469852	153.0695	80	19.52	30.52	-1473.706485	38.15	9
47280	2242.899549	170.5013636	73	19.69	29.58	-1472.344244	36.98	0
47520	2241.608939	175.1491304	81	19.56	26.85	-1471.549721	33.57	17
47760	2242.530134	139.2966667	80	19.42	36.21	-1471.542411	45.26	0
48000	2241.338137	161.138	78	19.29	30.81	-1474.120843	38.59	4
48240	2243.814774	126.2036364	73	19.52	30.58	-1475.578831	38.41	0
48480	2244.752193	131.8734783	75	19.85	27.75	-1475.452851	34.69	7
48720	2248.165217	122.005	67	19.62	30.56	-1477.267391	38.2	0
48960	2249.285405	133.4580952	65	19.54	29.79	-1476.335135	37.42	3
49200	2250.714286	128.5259091	59	20	22.6	-1477.464017	28.26	0
49440	2249.51606	145.6414286	64	19.69	21.85	-1475.56531	27.32	8
49680	2249.479787	139.9504545	58	19.69	22.33	-1477.55	27.92	0
49920	2250.880297	112.5885714	61	19.48	22.96	-1477.32839	28.85	7
50160	2250.533827	127.5061111	59	19.5	22.96	-1476.660677	28.91	0
50400	2249.774499	130.3836842	63	19.92	19.81	-1475.788198	24.77	7
50640	2246.974843	138.4585	58	20	21.92	-1474.880503	27.4	0
50880	2248.750522	126.8504762	68	20	18.46	-1476.68476	23.07	14
51120	2251.665975	135.8430435	62	19.62	29	-1477.545643	36.28	0
51360	2250.071355	139.7370833	67	19.9	26.27	-1476.661841	32.84	8
51600	2247.197734	137.9133333	63	19.85	22.6	-1476.594233	28.41	0
51840	2248.673511	137.2828571	74	19.73	28.58	-1481.014374	35.73	14
52080	2249.434426	159.4254545	72	19.77	25.92	-1482.845287	32.45	0
52320	2247.265514	150.6163636	79	19.42	29.35	-1486.57884	36.8	14
52560	2250.113246	163.9685	73	19.67	34.25	-1488.249747	42.81	0
52800	2251.21809	154.3482609	77	19.94	32.73	-1491.064322	40.96	10
53040	2248.949	151.4680952	72	19.6	26.5	-1490.938	33.12	0
53280	2244.375124	146.8990909	75	19.48	26.9	-1487.839801	33.72	8
53520	2244.305859	134.577619	73	19.69	35.33	-1487.597815	44.17	0
53760	2240.76581	133.4356522	75	19.42	30.25	-1484.816206	37.81	7
54000	2238.213163	144.915	69	19.04	30.67	-1483.564833	38.33	0
54240	2240.172179	115.7247619	65	19.65	30.19	-1486.037938	37.84	6
54480	2239.778744	139.9791667	58	20	23.06	-1485.917874	28.83	0
54720	2240.952015	124.3313636	60	19.08	26.58	-1481.747601	33.23	9
54960	2238.717433	148.9304545	58	20	28.15	-1480.086207	35.18	0
55200	2241.43362	139.4454545	67	19.35	29.69	-1484.360076	37.27	12
55440	2241.950429	133.0943478	65	19.54	30.9	-1486.657769	38.62	0
55680	2243.367077	134.7809524	65	19.98	26.33	-1487.437086	32.92	8
55920	2241.577213	135.5518182	60	19.83	28.52	-1485.230697	35.65	0
56160	2242.254682	126.7590909	66	19.6	28.48	-1485.308052	35.6	12
56400	2243.043802	152.3028571	61	19.67	28.98	-1484.582479	36.22	0
56640	2244.539033	131.112	65	20	24.35	-1484.513011	30.44	7
56880	2245.143652	154.6195455	62	19.96	30.92	-1484.614458	38.65	0
57120	2243.671283	157.8535	65	18.96	26.9	-1484.012004	33.65	7
57360	2239.98804	142.7354545	61	20	27.29	-1482.955842	34.11	0
57600	2239.315934	147.7742857	66	20	25.5	-1482.858974	31.87	10
57840	2239.195434	130.6127273	63	20	28.33	-1482.706849	35.44	0
58080	2237.618961	135.3872727	70	19.88	23.69	-1481.963537	29.61	9
58320	2235.050679	146.94	62	18.77	30.35	-1481.141176	37.94	0
58560	2236.276826	164.4043478	69	20	28.6	-1480.241659	35.76	11
58800	2239.573991	144.0405	63	18.85	25.79	-1480.589238	32.24	0
59040	2241.058036	137.1015	65	20	29.5	-1481.425893	36.88	7
59280	2240.433155	156.6872727	63	19.69	27.44	-1481.033868	34.4	0
59520	2241.05595	126.367	68	20	24.83	-1480.584369	31.28	9
59760	2239.111307	120.5057143	62	19.79	26.88	-1480.765901	33.59	0
59999	2238.432077	136.9468182	60	20	23.7	-1482.314636	29.63	7
60240	2237.666084	131.9919048	57	19.67	29.17	-1481.229895	36.46	0
60480	2236.333333	124.5781818	64	20	25.21	-1478.440383	31.51	12
60720	2237.785217	142.7830435	63	20	25.81	-1479.153043	32.27	0
60960	2237.76843	116.9290909	69	19.92	25.33	-1478.54987	31.67	9
61200	2236.571305	137.0038095	65	18.77	30.46	-1477.809853	38.28	0
61440	2237.50945	140.522381	65	19.42	28.56	-1478.304124	35.83	7
61680	2233.865303	142.1479167	56	19.81	25.1	-1476.086957	31.38	0
61920	2233.800681	139.5058333	66	18.92	31.75	-1475.844123	39.69	11
62160	2231.5	169.2934783	60	19.42	36.08	-1474.024576	45.1	0
62400	2231.168919	162.6630435	70	20	27.42	-1472.769426	34.27	14
62640	2232.315922	160.2522727	67	19.58	32.77	-1475.108677	40.96	0
62880	2231.021044	149.5952381	80	19.08	31.73	-1475.012626	39.66	14
63120	2230.051883	138.4573913	73	18.48	43.5	-1477.026778	54.51	0
63360	2227.703425	148.097	79	19.69	33.75	-1476.319967	42.29	8
63600	2226.843333	144.5704545	76	19.67	32.92	-1477.498333	41.15	0
63840	2226.140962	154.1177273	80	18.06	37.27	-1476.228856	46.59	10
64080	2224.465731	145.3219048	75	19.5	32.71	-1474.566474	40.89	0
64320	2227.153657	135.7209091	79	18.79	33.44	-1474.113394	41.8	10
64560	2226.689655	162.86	78	19.5	31.75	-1473.563218	39.69	0
64800	2226.875817	131.7626316	77	19.33	27.4	-1473.259804	34.24	5
65040	2225.765663	151.034	72	19.9	31.52	-1471.640358	39.4	0
65280	2225.32279	134.9845	78	20	26.17	-1471.620438	32.71	10
65520	2222.844355	169.2933333	71	19.96	29.19	-1470.13629	36.48	0
65760	2220.592444	147.8759091	79	20	28.46	-1468.52492	35.73	12
66000	2223.815052	140.603	74	19.62	27	-1470.429944	33.75	0
66240	2222.425379	160.1104545	87	20	29.19	-1471.066241	36.48	17
66480	2224.388535	165.9922727	84	19.88	34.19	-1474.565287	42.73	0
66720	2226.377971	140.7916667	90	19.81	30.21	-1476.545959	37.89	12
66960	2225.045059	177.787	87	18.88	36.08	-1475.84664	45.1	0
67200	2224.38867	146.6290909	96	19.83	28.69	-1475.585366	35.86	15
67440	2222.502749	166.8195238	94	19.46	36.38	-1474.429694	45.47	0
67680	2229.539117	158.0495238	86	19.6	33.83	-1475.415182	42.29	10
67920	2230.576271	154.4675	79	19.27	32.42	-1473.689522	40.52	0
68160	2231.631579	142.4065	78	19.4	36.75	-1467.948894	45.94	12
68400	2230.750949	158.3191667	72	19.69	35.46	-1467.925588	44.32	0
68640	2231.054587	158.2468421	80	19.08	33.08	-1466.452616	41.35	10
68880	2232.429652	150.68	77	19.21	40.4	-1465.418306	50.49	0
69120	2233.483822	143.7086957	72	20	26.71	-1463.771257	33.39	2
69360	2235.807031	141.9863636	64	19.38	30.35	-1462.958863	38.1	0
69600	2237.144659	145.215	60	19.04	26.46	-1459.219585	33.07	7
69840	2236.698964	133.1195	56	19.9	32.73	-1457.174556	40.91	0
70080	2238.504059	149.84	63	19.5	29.27	-1456.662731	36.59	10
70320	2240.588668	127.3191667	59	19.23	33.94	-1456.487859	42.42	0
70560	2241.071953	128.1171429	61	19.56	30.08	-1455.497797	37.6	5
70800	2239.924542	153.2495455	58	19.5	29.85	-1456.514286	37.45	0
71040	2243.426589	136.5430435	61	19.94	26.88	-1457.050402	33.59	7
71280	2244.102041	143.9529167	58	19.73	23.33	-1457.30102	29.17	0
71520	2243.888727	118.8057895	71	19.77	28.31	-1458.986909	35.49	16
71760	2243.968818	160.4485714	67	19.04	37.35	-1459.839014	46.69	0
72000	2245.782357	154.262381	80	19.62	32.58	-1460.319595	40.73	17
72240	2244.906273	150.3313043	76	19.29	35.44	-1460.886806	44.3	0
72480	2243.021583	143.1365217	78	18.98	34.4	-1460.61223	42.99	5
72720	2242.954871	135.6066667	72	19.56	32.33	-1461.653295	40.42	0
72960	2242.581246	171.8266667	82	20	25.42	-1461.921976	32.03	11
73200	2243.151105	142.2794737	76	20	26.25	-1463.282252	32.81	0
73440	2241.388377	145.2863636	74	20	31.33	-1462.770376	39.17	6
73680	2239.064926	149.316	68	19.88	27.56	-1462.323924	34.45	0
73920	2237.843068	124.2577273	72	20	28.6	-1460.586911	35.76	8
74160	2237.492275	137.5747368	69	20	26.98	-1459.858146	33.72	0
74400	2236.195804	124.3754545	71	19.31	28.4	-1458.504196	35.49	8
74640	2239.029903	119.5966667	63	20	24.48	-1461.652295	30.6	0
74880	2237.624827	131.2190476	68	19.12	30.27	-1460.261442	37.84	9
75120	2240.088581	130.5804545	65	19.31	22.19	-1460.586159	27.92	0
75360	2242.248966	115.4804545	69	19.96	24.54	-1461.664828	30.68	9
75600	2241.34663	137.5573913	65	19.9	29.04	-1461.777166	36.33	0
75840	2241.208505	132.2418182	72	20	23.27	-1461.430041	29.09	11
76080	2240.761092	129.8780952	65	19.92	26.4	-1461.319454	32.99	0
76320	2238.985734	129.8563636	66	20	24.79	-1460.777174	30.99	8
76560	2239.730899	144.527	59	19.92	26.81	-1462.195402	33.59	0
76800	2239.990566	130.6195238	67	19.83	27.06	-1463.354447	33.83	13
77040	2239.746299	152.0577273	65	19.58	29.52	-1463.007402	36.9	0
77280	2240.08871	153.3765217	75	19.62	26.58	-1463.580645	33.23	12
77520	2238.463758	149.5022727	73	20	27.48	-1463.022148	34.35	0
77760	2236.139893	153.1540909	81	19.92	32.54	-1462.52075	40.68	12
78000	2237.50433	143.5336364	74	19.98	30.29	-1464.097268	37.86	0
78240	2237.419269	173.6120833	80	19.58	35.52	-1464.348837	44.56	10
78480	2236.519523	157.9747826	74	19.92	34.79	-1465.208471	43.7	0
78720	2234.980198	134.6810526	77	19.42	34.85	-1465.368977	43.57	7
78960	2232.749672	156.2009524	66	19.77	34.38	-1464.963303	42.97	0
79200	2234.285248	151.5005263	70	19.81	29.1	-1465.060052	36.38	10
79440	2235.117915	158.7421739	67	19.81	28.58	-1465.359609	35.73	0
79680	2236.335065	137.7821053	72	19.98	25.75	-1466.383117	32.37	10
79920	2236.373057	153.8535	68	19.4	30.79	-1465.604275	38.49	0
80160	2235.868302	170.4595455	74	19.15	32.77	-1463.658489	40.96	11
80400	2239.569132	157.8313043	68	19.33	29.85	-1466.700965	37.32	0
80640	2238.820282	149.1577273	74	19.52	32.15	-1465.890886	40.18	9
80880	2237.921305	140.3827273	69	18.88	39.19	-1465.166347	48.98	0
81120	2238.758137	140.3490909	76	19.25	34.31	-1466.478622	42.99	11
81360	2237.928071	144.6928571	72	19	36.77	-1465.898154	45.96	0
81600	2237.401774	135.9072727	71	19.75	33.42	-1464.482256	41.77	6
81840	2236.273877	149.6290909	68	20	28.31	-1463.468691	35.39	0
82080	2237.203529	149.229	73	19.4	29.02	-1462.723377	36.28	11
82319	2237.486842	137.2843478	64	19.77	28.24	-1461.569549	35.3	0
82560	2241.602244	137.2190909	59	19.52	27.12	-1462.569202	34.1	3
82800	2245.586808	147.1008696	56	19.79	21.58	-1463.369633	27.21	0
83040	2246.883995	133.1678261	61	19.85	23.04	-1463.846774	28.8	10
83280	2244.656966	114.11	58	20	26.85	-1462.725077	33.57	0
83520	2243.463822	113.6991667	61	20	22.73	-1462.458256	28.54	5
83760	2244.453704	118.9847826	58	19.69	22.96	-1462.346296	28.7	0
