Time	Idle
70560	139.008095238095
70800	138.592727272727
71040	156.36
71280	167.486666666667
71520	147.155238095238
71760	142.7575
72000	132.285217391304
72240	129.075
72480	169.329523809524
72720	158.652631578947
72960	167.643157894737
73200	135.347142857143
73440	138.882380952381
73680	139.211363636364
73920	148.80380952381
74160	157.535
74400	144.899
74640	125.144761904762
74880	120.2
75120	136.833636363636
75360	133.106818181818
75600	142.7095
75840	146.309090909091
76080	121.234761904762
76319	116.2015
76560	123.84619047619
76800	152.827083333333
77040	153.547142857143
77280	147.019090909091
77520	137.44619047619
77759	97.5004761904762
78000	134.639545454545
78240	177.725
78480	167.617619047619
78720	176.095263157895
78960	170.811304347826
79200	124.410454545455
79440	145.312272727273
79680	148.613333333333
79920	164.76380952381
80160	152.489130434783
80400	130.568571428571
80640	133.008571428571
80880	143.927272727273
81120	170.577619047619
81360	157.963636363636
81600	167.035714285714
81840	126.198260869565
82080	139.391904761905
82320	143.316086956522
82560	160.749545454545
