Time	cycle	Idle	Open	Setup	TotalWork	Lateness	OEE	New
97199	929.2310566	32.60541667	59	15.36	21.38	-2799.762006	26.73	0
97440	929.0623003	27.13826087	61	16.16	25.27	-2796.396699	31.59	6
97680	928.8279341	26.65	56	13.69	18.1	-2795.431227	22.63	0
97920	928.8279341	28.38826087	64	13.96	28.33	-2795.431227	35.42	8
98160	928.9019088	25.98238095	61	9.29	16.04	-2794.721103	20.05	0
98400	929.2854123	29.90791667	62	9.65	16.25	-2794.827696	20.31	7
98640	929.1461741	30.62681818	59	6.54	11.81	-2794.631662	14.77	0
98880	928.9542827	30.70916667	57	12.25	15.92	-2791.901734	19.9	6
99120	929.2632407	38.49291667	53	8.94	13.12	-2793.988464	16.41	0
99360	929.2841444	46.45227273	57	12.9	29.83	-2793.340659	37.29	8
99600	928.7472585	64.41416667	53	11.46	19.46	-2792.132637	24.32	0
99840	928.1837585	52.34833333	66	16.88	41.06	-2793.027069	51.33	19
100079	928.0773624	60.26391304	61	15.61	41.95	-2794.551402	52.43	0
100320	927.6832298	44.90083333	62	15.48	42.74	-2797.808489	53.42	7
100560	927.0578214	37.52625	57	12.54	27.88	-2796.325245	34.84	0
100800	926.6597938	32.17916667	61	16.23	38.31	-2794.105155	47.89	7
101040	926.3868313	34.48625	57	15.98	31.6	-2791.846193	39.66	0
101279	925.9147406	34.08458333	61	14.37	25.92	-2792.915768	32.4	7
101520	925.5012814	40.46125	57	13.96	16.06	-2794.124039	20.07	0
101760	925.3811475	39.25833333	67	14.21	33.19	-2793.302766	41.48	11
101999	924.8258427	41.28333333	61	13.58	22.89	-2793.358529	28.61	0
102240	924.6666667	46.765	67	14.79	34.38	-2795.672783	42.97	10
102480	924.5947047	47.83541667	65	16.1	26.92	-2794.461813	33.67	0
102720	924.8319797	37.51	70	16.54	33.35	-2795.497462	41.69	11
102960	924.9024267	38.39083333	62	16.52	34.42	-2793.545501	43.2	0
103199	925.2270434	26.90958333	62	16.09	29.02	-2794.9556	36.27	4
103439	925.4503778	19.08166667	59	14.98	18.94	-2793.981864	23.67	0
103680	925.1884422	39.07291667	58	12.66	17.08	-2792.28593	21.34	4
103919	925.0778112	37.27625	56	4.85	7.09	-2793.422189	8.87	0
104160	925.1804511	37.20541667	61	16.12	27.86	-2792.981955	34.83	8
104399	924.953	30.72791667	56	14.92	19.94	-2791.1325	24.92	0
104639	925.5494012	51.05375	58	15.9	22.35	-2790.028443	27.94	6
104880	925.4596614	73.70043478	54	12.57	15.08	-2788.260956	18.85	0
